refset;algorithm;variation;binary;expression;bp distance;ROC-AUC per chromosome;Recall snps;Recall entries;Recall genes;ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;LR;combo;binary;no expression;25;;30;31;23;70,60117302;0,772222222;22;31;31;31;1,35483871;1
farashi;LR;combo;binary;no expression;50;;45;46;37;71,72006102;0,724074074;29;46;46;46;1,47826087;1
farashi;LR;combo;binary;no expression;100;0,490159296;54;55;46;60,80368906;0,511728395;17;50;54;55;2,254545455;2
farashi;LR;combo;binary;no expression;500;0,543623972;135;144;116;71,09534891;0,565932317;26;68;100;114;6,229166667;4
farashi;LR;combo;binary;no expression;1000;0,498659364;173;185;148;67,95346074;0,523340398;19;44;71;124;12,02702703;7
farashi;LR;combo;binary;no expression;2000;0,479507863;194;208;167;64,03685453;0,492209125;11;22;45;88;20,71153846;14,5
farashi;LR;combo;binary;no expression;depict;;87;87;83;79,37102877;0,718345192;57;77;86;87;1,724137931;1
farashi;LR;incoming;normal;diff expression;25;;25;26;18;71,68803419;0,786666667;19;25;25;26;1,461538462;1
farashi;LR;incoming;normal;diff expression;50;;39;40;31;61,77777778;0,592185592;21;38;40;40;1,65;1
farashi;LR;incoming;normal;diff expression;100;;45;46;37;68,50067234;0,643458393;25;41;44;46;2,043478261;1
farashi;LR;incoming;normal;diff expression;500;0,507813325;121;130;103;67,83475783;0,525890895;23;64;93;107;6,476923077;4
farashi;LR;incoming;normal;diff expression;1000;0,501762767;159;170;134;67,34195951;0,514678431;22;46;72;122;11,1;6
farashi;LR;incoming;normal;diff expression;2000;0,488372472;180;192;152;63,2000979;0,478498554;13;27;47;86;19,17708333;12
farashi;LR;incoming;normal;diff expression;depict;;79;79;75;82,07575158;0,791044066;57;72;79;79;1,53164557;1
farashi;LR;incoming;normal;no expression;25;;25;26;18;68,8034188;0,766666667;18;26;26;26;1,384615385;1
farashi;LR;incoming;normal;no expression;50;;39;40;31;82,86111111;0,863858364;31;40;40;40;1,275;1
farashi;LR;incoming;normal;no expression;100;;45;46;37;68,90407889;0,580740741;22;42;45;46;1,891304348;2
farashi;LR;incoming;normal;no expression;500;0,570495636;121;130;103;69,7697056;0,55680825;23;72;95;111;6,138461538;3
farashi;LR;incoming;normal;no expression;1000;0,549990449;159;170;134;68,62881971;0,545210057;23;60;77;123;10,58235294;6
farashi;LR;incoming;normal;no expression;2000;0,520435872;180;192;152;65,04482688;0,513452782;18;37;52;93;18,32291667;11
farashi;LR;incoming;normal;no expression;depict;;79;79;75;85,06724684;0,839567273;61;74;79;79;1,443037975;1
farashi;LR;incoming;binary;diff expression;25;;25;26;18;83,65384615;0,9;22;25;26;26;1,269230769;1
farashi;LR;incoming;binary;diff expression;50;;39;40;31;72,08333333;0,770757021;26;39;39;40;1,525;1
farashi;LR;incoming;binary;diff expression;100;;45;46;37;73,50963693;0,75002886;27;40;45;46;1,869565217;1
farashi;LR;incoming;binary;diff expression;500;0,498032136;121;130;103;66,86401947;0,510825051;20;59;82;111;6,276923077;4
farashi;LR;incoming;binary;diff expression;1000;0,43030642;159;170;134;67,54936975;0,488057137;15;46;70;118;10,18823529;6
farashi;LR;incoming;binary;diff expression;2000;0,463026884;180;192;152;63,72470974;0,457759151;5;22;38;79;17,25;13
farashi;LR;incoming;binary;diff expression;depict;;79;79;75;78,68374209;0,730481266;53;71;77;78;1,784810127;1
farashi;LR;incoming;binary;no expression;25;;25;26;18;85,79059829;0,913333333;22;26;26;26;1,192307692;1
farashi;LR;incoming;binary;no expression;50;;39;40;31;80,05555556;0,818376068;30;40;40;40;1,325;1
farashi;LR;incoming;binary;no expression;100;;45;46;37;70,46167638;0,612328042;20;44;46;46;1,782608696;2
farashi;LR;incoming;binary;no expression;500;0,556939729;121;130;103;71,75866572;0,588482299;28;68;91;113;5,307692308;3
farashi;LR;incoming;binary;no expression;1000;0,477458532;159;170;134;68,62137128;0,524617687;24;45;75;116;9,670588235;7
farashi;LR;incoming;binary;no expression;2000;0,509544663;180;192;152;64,24124931;0,489626291;5;31;48;93;17,38020833;11,5
farashi;LR;incoming;binary;no expression;depict;;79;79;75;80,42424842;0,754984772;53;75;78;79;1,582278481;1
farashi;LR;outgoing;normal;diff expression;25;;29;30;22;80,70175439;0,891954023;25;29;30;30;1,3;1
farashi;LR;outgoing;normal;diff expression;50;;42;43;34;62,33170135;0,68452381;27;42;43;43;1,534883721;1
farashi;LR;outgoing;normal;diff expression;100;0,406613642;50;51;42;59,63458111;0,525825397;20;45;50;51;2,137254902;2
farashi;LR;outgoing;normal;diff expression;500;0,477298147;128;137;109;67,73665764;0,552180039;32;70;80;115;6,350364964;3
farashi;LR;outgoing;normal;diff expression;1000;0,467605977;164;176;139;66,97823279;0,524426583;14;53;81;116;11,36931818;6
farashi;LR;outgoing;normal;diff expression;2000;0,530087055;182;196;155;68,07905468;0,557799452;7;33;57;108;17,23979592;10
farashi;LR;outgoing;normal;diff expression;depict;;79;79;75;80,8909445;0,774511986;54;74;77;78;1,949367089;1
farashi;LR;outgoing;normal;no expression;25;;29;30;22;76,84210526;0,850574713;24;29;29;30;1,366666667;1
farashi;LR;outgoing;normal;no expression;50;;42;43;34;68,91064871;0,755952381;30;41;42;43;1,511627907;1
farashi;LR;outgoing;normal;no expression;100;0,519253012;50;51;42;60,13368984;0,539031746;22;43;50;51;2,215686275;2
farashi;LR;outgoing;normal;no expression;500;0,546396261;128;137;109;68,70463803;0,581605593;27;65;93;112;6,02189781;4
farashi;LR;outgoing;normal;no expression;1000;0,525031964;164;176;139;70,63810269;0,580482015;26;64;88;129;9,960227273;5,5
farashi;LR;outgoing;normal;no expression;2000;0,547579835;182;196;155;68,69812268;0,582105921;15;31;75;105;16,63265306;9
farashi;LR;outgoing;normal;no expression;depict;;79;79;75;81,4556962;0,772086985;56;73;77;79;1,620253165;1
farashi;LR;outgoing;binary;diff expression;25;;29;30;22;71,05263158;0,805747126;22;29;30;30;1,366666667;1
farashi;LR;outgoing;binary;diff expression;50;;42;43;34;62,45410037;0,656746032;25;43;43;43;1,465116279;1
farashi;LR;outgoing;binary;diff expression;100;0,475826605;50;51;42;64,62566845;0,578015873;23;45;50;51;2,019607843;2
farashi;LR;outgoing;binary;diff expression;500;0,446969888;128;137;109;63,98828602;0,491371115;23;59;82;105;7,065693431;4
farashi;LR;outgoing;binary;diff expression;1000;0,435242927;164;176;139;63,81582094;0,465811427;11;44;71;113;12,69886364;7
farashi;LR;outgoing;binary;diff expression;2000;0,422549203;182;196;155;62,74613062;0,463390774;8;24;45;77;19,84693878;12
farashi;LR;outgoing;binary;diff expression;depict;;79;79;75;78,15968841;0,742463022;51;72;78;78;1,772151899;1
farashi;LR;outgoing;binary;no expression;25;;29;30;22;63,68421053;0,736781609;20;29;30;30;1,433333333;1
farashi;LR;outgoing;binary;no expression;50;;42;43;34;65,48347613;0,692460317;26;43;43;43;1,418604651;1
farashi;LR;outgoing;binary;no expression;100;0,593336697;50;51;42;64,12655971;0,609761905;24;45;50;51;2;2
farashi;LR;outgoing;binary;no expression;500;0,485711884;128;137;109;66,15816464;0,514629886;22;58;85;110;6,277372263;4
farashi;LR;outgoing;binary;no expression;1000;0,493215714;164;176;139;63,0270117;0,472710244;14;38;63;111;12,53409091;8
farashi;LR;outgoing;binary;no expression;2000;0,458026934;182;196;155;61,58326601;0,473945366;8;20;39;75;19,78571429;14
farashi;LR;outgoing;binary;no expression;depict;;79;79;75;81,1781889;0,771164279;54;75;79;79;1,506329114;1
farashi;SVM;combo;normal;diff expression;25;;30;31;23;77,5659824;0,844444444;24;30;30;31;1,35483871;1
farashi;SVM;combo;normal;diff expression;50;;45;46;37;69,90846682;0,723148148;28;45;46;46;1,52173913;1
farashi;SVM;combo;normal;diff expression;100;0,497914721;54;55;46;66,83794466;0,614969136;27;47;54;55;2,163636364;2
farashi;SVM;combo;normal;diff expression;500;0,500515404;135;144;116;68,2288572;0,548470437;26;70;87;120;7,145833333;4
farashi;SVM;combo;normal;diff expression;1000;0,441189833;173;185;148;68,18104586;0,503813286;13;48;72;125;12,20540541;6
farashi;SVM;combo;normal;diff expression;2000;0,478792019;194;208;167;65,49399372;0,506671146;6;36;49;96;20,14903846;12
farashi;SVM;combo;normal;diff expression;depict;;87;87;83;82,96922967;0,788430858;61;82;86;87;1,574712644;1
farashi;SVM;combo;normal;no expression;25;;30;31;23;80,79178886;0,877777778;25;30;30;31;1,322580645;1
farashi;SVM;combo;normal;no expression;50;;45;46;37;67,81083143;0,667592593;26;45;46;46;1,543478261;1
farashi;SVM;combo;normal;no expression;100;0,51533472;54;55;46;65,02635046;0,592746914;24;47;54;55;2,163636364;2
farashi;SVM;combo;normal;no expression;500;0,52852953;135;144;116;70,21419258;0,58045265;32;70;92;119;6,576388889;4
farashi;SVM;combo;normal;no expression;1000;0,511134788;173;185;148;68,89025494;0,546785036;24;51;76;118;11,41621622;7
farashi;SVM;combo;normal;no expression;2000;0,547267972;194;208;167;67,65491453;0,564428931;16;34;62;102;19,04807692;11
farashi;SVM;combo;normal;no expression;depict;;87;87;83;80,87027915;0,760773475;60;78;84;87;1,689655172;1
farashi;SVM;combo;binary;diff expression;25;;30;31;23;71,26099707;0,783333333;22;30;31;31;1,387096774;1
farashi;SVM;combo;binary;diff expression;50;;45;46;37;65,40808543;0,647222222;26;44;46;46;1,652173913;1
farashi;SVM;combo;binary;diff expression;100;0,451473418;54;55;46;64,22924901;0,608333333;27;44;53;55;2,272727273;2
farashi;SVM;combo;binary;diff expression;500;0,487919076;135;144;116;70,19170463;0,544030177;35;73;92;114;6,534722222;3
farashi;SVM;combo;binary;diff expression;1000;0,424284327;173;185;148;68,66232448;0,504782724;20;46;78;125;11,91891892;7
farashi;SVM;combo;binary;diff expression;2000;0,437843721;194;208;167;62,88974765;0,459074737;10;26;40;85;21,76442308;15
farashi;SVM;combo;binary;diff expression;depict;;87;87;83;81,1272935;0,773554945;59;81;85;87;1,643678161;1
farashi;SVM;combo;binary;no expression;25;;30;31;23;68,69501466;0,766666667;21;31;31;31;1,35483871;1
farashi;SVM;combo;binary;no expression;50;;45;46;37;71,6819222;0,702777778;29;44;46;46;1,52173913;1
farashi;SVM;combo;binary;no expression;100;0,471562261;54;55;46;61,36363636;0,504783951;18;51;52;55;2,272727273;2
farashi;SVM;combo;binary;no expression;500;0,529733415;135;144;116;69,93752888;0,557514206;22;67;93;117;6,548611111;4
farashi;SVM;combo;binary;no expression;1000;0,46659056;173;185;148;65,49416015;0,493783919;15;40;66;119;13,01621622;8
farashi;SVM;combo;binary;no expression;2000;0,472270762;194;208;167;62,94681875;0,471594118;9;19;49;84;21,375;15
farashi;SVM;combo;binary;no expression;depict;;87;87;83;82,61940458;0,786056377;60;81;86;87;1,609195402;1
farashi;SVM;incoming;normal;diff expression;25;;25;26;18;63,9957265;0,726666667;17;25;25;26;1,538461538;1
farashi;SVM;incoming;normal;diff expression;50;;39;40;31;73,63888889;0,774114774;27;40;40;40;1,425;1
farashi;SVM;incoming;normal;diff expression;100;;45;46;37;74,97758853;0,737027417;27;43;46;46;1,695652174;1
farashi;SVM;incoming;normal;diff expression;500;0,479059972;121;130;103;69,73468661;0,569773845;24;69;92;110;5,953846154;3
farashi;SVM;incoming;normal;diff expression;1000;0,447929365;159;170;134;66,3736631;0,489427999;10;42;72;122;11,22352941;6
farashi;SVM;incoming;normal;diff expression;2000;0,479164406;180;192;152;65,32727054;0,50039689;6;29;46;97;17,25;10
farashi;SVM;incoming;normal;diff expression;depict;;79;79;75;82,60482595;0,78713794;57;73;78;79;1,53164557;1
farashi;SVM;incoming;normal;no expression;25;;25;26;18;70,40598291;0,773333333;18;26;26;26;1,346153846;1
farashi;SVM;incoming;normal;no expression;50;;39;40;31;72,83333333;0,757020757;26;40;40;40;1,425;1
farashi;SVM;incoming;normal;no expression;100;;45;46;37;73,4087853;0,67031746;25;42;46;46;1,739130435;1
farashi;SVM;incoming;normal;no expression;500;0,583818823;121;130;103;68,33006885;0,565924953;23;62;86;113;6,2;4
farashi;SVM;incoming;normal;no expression;1000;0,49708227;159;170;134;64,12270817;0,462984294;11;43;72;112;11,90588235;7
farashi;SVM;incoming;normal;no expression;2000;0,497307734;180;192;152;63,25033491;0,491213219;13;22;48;89;18,52604167;11
farashi;SVM;incoming;normal;no expression;depict;;79;79;75;83,55419304;0,81124885;59;72;78;79;1,518987342;1
farashi;SVM;incoming;binary;diff expression;25;;25;26;18;72,64957265;0,806666667;19;26;26;26;1,346153846;1
farashi;SVM;incoming;binary;diff expression;50;;39;40;31;74,22222222;0,776251526;27;39;40;40;1,425;1
farashi;SVM;incoming;binary;diff expression;100;;45;46;37;74,04751233;0,731188071;27;42;45;46;1,782608696;1
farashi;SVM;incoming;binary;diff expression;500;0,523542149;121;130;103;69,63823599;0,547734192;28;62;81;116;5,669230769;4
farashi;SVM;incoming;binary;diff expression;1000;0,426906335;159;170;134;69,02998472;0,508163313;22;45;74;119;9,617647059;6
farashi;SVM;incoming;binary;diff expression;2000;0,46152051;180;192;152;64,52146022;0,49292005;6;29;46;94;17,046875;11
farashi;SVM;incoming;binary;diff expression;depict;;79;79;75;82,31803797;0,798428032;55;75;79;79;1,493670886;1
farashi;SVM;incoming;binary;no expression;25;;25;26;18;81,94444444;0,893333333;21;26;26;26;1,230769231;1
farashi;SVM;incoming;binary;no expression;50;;39;40;31;78,25;0,794871795;29;40;40;40;1,35;1
farashi;SVM;incoming;binary;no expression;100;;45;46;37;66,86463469;0,558571429;18;44;45;46;1,913043478;2
farashi;SVM;incoming;binary;no expression;500;0,578540348;121;130;103;73,03181387;0,59699152;31;66;94;116;4,953846154;3
farashi;SVM;incoming;binary;no expression;1000;0,554943287;159;170;134;70,70024828;0,564510505;26;63;82;122;9,135294118;6
farashi;SVM;incoming;binary;no expression;2000;0,543721558;180;192;152;66,61174945;0,542891798;29;43;60;94;16,125;11,5
farashi;SVM;incoming;binary;no expression;depict;;79;79;75;83,17345728;0,776295961;58;73;76;79;1,569620253;1
farashi;SVM;outgoing;normal;diff expression;25;;29;30;22;82,10526316;0,891954023;25;29;30;30;1,266666667;1
farashi;SVM;outgoing;normal;diff expression;50;;42;43;34;63,06609547;0,666666667;27;42;42;43;1,558139535;1
farashi;SVM;outgoing;normal;diff expression;100;0,438871267;50;51;42;62,63814617;0,544;22;43;50;51;2,137254902;2
farashi;SVM;outgoing;normal;diff expression;500;0,461666663;128;137;109;69,26345609;0,552962175;29;69;88;116;6,03649635;3
farashi;SVM;outgoing;normal;diff expression;1000;0,412736425;164;176;139;67,40872533;0,488355709;20;48;78;117;11,07954545;7
farashi;SVM;outgoing;normal;diff expression;2000;0,493782286;182;196;155;68,1602802;0,528193756;21;42;64;101;16,57653061;10
farashi;SVM;outgoing;normal;diff expression;depict;;79;79;75;82,56085686;0,791051143;57;73;78;79;1,556962025;1
farashi;SVM;outgoing;normal;no expression;25;;29;30;22;81,92982456;0,902298851;25;29;29;30;1,3;1
farashi;SVM;outgoing;normal;no expression;50;;42;43;34;62,0869033;0,678571429;27;42;42;43;1,581395349;1
farashi;SVM;outgoing;normal;no expression;100;0,461707837;50;51;42;62,23707665;0,534571429;21;43;51;51;2,078431373;2
farashi;SVM;outgoing;normal;no expression;500;0,479321198;128;137;109;67,52962098;0,564254041;26;69;82;109;6,423357664;3
farashi;SVM;outgoing;normal;no expression;1000;0,58198155;164;176;139;71,33141776;0,586524725;32;64;85;126;9,659090909;6
farashi;SVM;outgoing;normal;no expression;2000;0,492575353;182;196;155;63,1156484;0,507490236;17;33;49;87;19,92857143;11,5
farashi;SVM;outgoing;normal;no expression;depict;;79;79;75;80,24342746;0,77078175;54;73;78;78;1,658227848;1
farashi;SVM;outgoing;binary;diff expression;25;;29;30;22;74,73684211;0,822988506;23;29;30;30;1,333333333;1
farashi;SVM;outgoing;binary;diff expression;50;;42;43;34;55,93635251;0,601190476;23;42;43;43;1,604651163;1
farashi;SVM;outgoing;binary;diff expression;100;0,436497982;50;51;42;62,9144385;0,546190476;23;44;49;51;2,098039216;2
farashi;SVM;outgoing;binary;diff expression;500;0,482749089;128;137;109;69,53614483;0,552505489;27;79;90;114;6,065693431;3
farashi;SVM;outgoing;binary;diff expression;1000;0,407593484;164;176;139;66,76640313;0,499337998;17;47;76;118;11,53977273;6
farashi;SVM;outgoing;binary;diff expression;2000;0,388649863;182;196;155;62,72364174;0,444561388;12;26;41;84;19,84183673;13,5
farashi;SVM;outgoing;binary;diff expression;depict;;79;79;75;79,22103213;0,759275745;53;71;78;78;1,860759494;1
farashi;SVM;outgoing;binary;no expression;25;;29;30;22;63,68421053;0,736781609;20;29;30;30;1,433333333;1
farashi;SVM;outgoing;binary;no expression;50;;42;43;34;60,83231334;0,632936508;24;42;42;43;1,534883721;1
farashi;SVM;outgoing;binary;no expression;100;0,570079617;50;51;42;63,86809269;0,571428571;23;48;50;51;1,980392157;2
farashi;SVM;outgoing;binary;no expression;500;0,54886188;128;137;109;66,98372656;0,554270455;23;57;91;113;6,306569343;4
farashi;SVM;outgoing;binary;no expression;1000;0,498912667;164;176;139;64,52724403;0,495271697;17;48;69;113;12,30681818;7
farashi;SVM;outgoing;binary;no expression;2000;0,446797607;182;196;155;61,18868459;0,443628297;6;20;37;73;20,30612245;12,5
farashi;SVM;outgoing;binary;no expression;depict;;79;79;75;82,6533593;0,801738768;58;74;78;78;1,64556962;1
farashi;DT;combo;normal;diff expression;25;;30;31;23;64,00293255;0,811111111;27;31;31;31;1,129032258;1
farashi;DT;combo;normal;diff expression;50;;45;46;37;60,3928299;0,682407407;37;46;46;46;1,195652174;1
farashi;DT;combo;normal;diff expression;100;0,437684973;54;55;46;52,66798419;0,538194444;40;55;55;55;1,272727273;1
farashi;DT;combo;normal;diff expression;500;0,55556547;135;144;116;59,52354427;0,541969142;59;144;144;144;1,590277778;2
farashi;DT;combo;normal;diff expression;1000;0,556787803;173;185;148;60,63053854;0,537938621;63;185;185;185;1,697297297;2
farashi;DT;combo;normal;diff expression;2000;0,460318968;194;208;167;55,86647713;0,492532897;50;208;208;208;1,807692308;2
farashi;DT;combo;normal;diff expression;depict;;87;87;83;67,28064539;0,802683583;76;87;87;87;1,126436782;1
farashi;DT;combo;normal;no expression;25;;30;31;23;61,43695015;0,772222222;24;31;31;31;1,225806452;1
farashi;DT;combo;normal;no expression;50;;45;46;37;55,83524027;0,624074074;32;46;46;46;1,304347826;1
farashi;DT;combo;normal;no expression;100;0,44067142;54;55;46;58,08959157;0,562191358;36;55;55;55;1,345454545;1
farashi;DT;combo;normal;no expression;500;0,488626836;135;144;116;54,38576946;0,49240257;46;144;144;144;1,680555556;2
farashi;DT;combo;normal;no expression;1000;0,507043827;173;185;148;56,926116;0,48796042;64;185;185;185;1,675675676;2
farashi;DT;combo;normal;no expression;2000;0,483660825;194;208;167;56,18432218;0,501276478;52;208;208;208;1,793269231;2
farashi;DT;combo;normal;no expression;depict;;87;87;83;65,35303777;0,722435963;64;87;87;87;1,264367816;1
farashi;DT;combo;binary;diff expression;25;;30;31;23;63,3431085;0,825;28;31;31;31;1,096774194;1
farashi;DT;combo;binary;diff expression;50;;45;46;37;58,4286804;0,655555556;36;46;46;46;1,217391304;1
farashi;DT;combo;binary;diff expression;100;0,440172028;54;55;46;56,46903821;0,568287037;39;55;55;55;1,290909091;1
farashi;DT;combo;binary;diff expression;500;0,502555625;135;144;116;58,91265597;0,501316356;64;144;144;144;1,555555556;2
farashi;DT;combo;binary;diff expression;1000;0,549241288;173;185;148;57,31283801;0,515151071;63;185;185;185;1,713513514;2
farashi;DT;combo;binary;diff expression;2000;0,503201369;194;208;167;55,04794989;0,498253689;41;207;208;208;1,865384615;2
farashi;DT;combo;binary;diff expression;depict;;87;87;83;64,15720711;0,720515215;63;87;87;87;1,275862069;1
farashi;DT;combo;binary;no expression;25;;30;31;23;67,88856305;0,808333333;28;31;31;31;1,096774194;1
farashi;DT;combo;binary;no expression;50;;45;46;37;61,95652174;0,697222222;39;46;46;46;1,152173913;1
farashi;DT;combo;binary;no expression;100;0,398066802;54;55;46;53,82081686;0,548996914;32;55;55;55;1,418181818;1
farashi;DT;combo;binary;no expression;500;0,481126837;135;144;116;59,39501221;0,50360167;78;144;144;144;1,506944444;1
farashi;DT;combo;binary;no expression;1000;0,51558889;173;185;148;57,07482335;0,517358018;62;182;185;185;1,864864865;2
farashi;DT;combo;binary;no expression;2000;0,493059927;194;208;167;57,77230886;0,506712315;40;188;208;208;2,283653846;2
farashi;DT;combo;binary;no expression;depict;;87;87;83;67,59834369;0,757692271;71;87;87;87;1,195402299;1
farashi;DT;incoming;normal;diff expression;25;;25;26;18;54,27350427;0,73;21;26;26;26;1,192307692;1
farashi;DT;incoming;normal;diff expression;50;;39;40;31;59,16666667;0,704212454;34;40;40;40;1,15;1
farashi;DT;incoming;normal;diff expression;100;;45;46;37;60,09636934;0,606690717;33;46;46;46;1,282608696;1
farashi;DT;incoming;normal;diff expression;500;0,52765834;121;130;103;59,19040836;0,519035274;58;130;130;130;1,553846154;2
farashi;DT;incoming;normal;diff expression;1000;0,472985919;159;170;134;58,37624141;0,499895374;68;170;170;170;1,623529412;2
farashi;DT;incoming;normal;diff expression;2000;0,500578765;180;192;152;56,62707818;0,510872045;53;192;192;192;1,776041667;2
farashi;DT;incoming;normal;diff expression;depict;;79;79;75;60,42820411;0,753192316;64;79;79;79;1,189873418;1
farashi;DT;incoming;normal;no expression;25;;25;26;18;56,1965812;0,786666667;22;26;26;26;1,153846154;1
farashi;DT;incoming;normal;no expression;50;;39;40;31;56,25;0,648046398;29;40;40;40;1,275;1
farashi;DT;incoming;normal;no expression;100;;45;46;37;61,41864635;0,645064935;29;46;46;46;1,369565217;1
farashi;DT;incoming;normal;no expression;500;0,533179955;121;130;103;61,14850427;0,536873441;66;130;130;130;1,492307692;1
farashi;DT;incoming;normal;no expression;1000;0,503545675;159;170;134;56,55108862;0,501775717;52;170;170;170;1,711764706;2
farashi;DT;incoming;normal;no expression;2000;0,480438056;180;192;152;55,67656808;0,506485404;58;192;192;192;1,755208333;2
farashi;DT;incoming;normal;no expression;depict;;79;79;75;62,52966772;0,738424384;63;79;79;79;1,202531646;1
farashi;DT;incoming;binary;diff expression;25;;25;26;18;59,82905983;0,77;21;26;26;26;1,192307692;1
farashi;DT;incoming;binary;diff expression;50;;39;40;31;61,38888889;0,693986569;34;40;40;40;1,15;1
farashi;DT;incoming;binary;diff expression;100;;45;46;37;49,85432541;0,500377585;25;46;46;46;1,456521739;1
farashi;DT;incoming;binary;diff expression;500;0,542990203;121;130;103;58,34164292;0,530469866;58;130;130;130;1,553846154;2
farashi;DT;incoming;binary;diff expression;1000;0,491431367;159;170;134;56,22536287;0,49589552;48;170;170;170;1,758823529;2
farashi;DT;incoming;binary;diff expression;2000;0,459522366;180;192;152;56,04707681;0,491581376;55;190;192;192;1,817708333;2
farashi;DT;incoming;binary;diff expression;depict;;79;79;75;68,96756329;0,804679817;67;79;79;79;1,151898734;1
farashi;DT;incoming;binary;no expression;25;;25;26;18;69,44444444;0,886666667;26;26;26;26;1;1
farashi;DT;incoming;binary;no expression;50;;39;40;31;60,41666667;0,72954823;35;40;40;40;1,125;1
farashi;DT;incoming;binary;no expression;100;;45;46;37;63,37965038;0,617768158;34;46;46;46;1,260869565;1
farashi;DT;incoming;binary;no expression;500;0,473618585;121;130;103;56,87351614;0,464180078;41;122;130;130;1,961538462;2
farashi;DT;incoming;binary;no expression;1000;0,511431333;159;170;134;57,3302139;0,514118492;43;147;169;170;2,205882353;2
farashi;DT;incoming;binary;no expression;2000;0,507048377;180;192;152;59,28354287;0,490659576;25;114;174;192;3,21875;3
farashi;DT;incoming;binary;no expression;depict;;79;79;75;66,98971519;0,782712319;62;79;79;79;1,240506329;1
farashi;DT;outgoing;normal;diff expression;25;;29;30;22;59,8245614;0,825287356;28;30;30;30;1,066666667;1
farashi;DT;outgoing;normal;diff expression;50;;42;43;34;54,00856793;0,683531746;34;43;43;43;1,209302326;1
farashi;DT;outgoing;normal;diff expression;100;0,526503428;50;51;42;61,2745098;0,613007937;37;51;51;51;1,274509804;1
farashi;DT;outgoing;normal;diff expression;500;0,531252454;128;137;109;61,27173756;0,513933135;63;137;137;137;1,540145985;2
farashi;DT;outgoing;normal;diff expression;1000;0,515143439;164;176;139;57,64764869;0,504008353;50;175;176;176;1,914772727;2
farashi;DT;outgoing;normal;diff expression;2000;0,478010305;182;196;155;61,38613622;0,5004868;52;195;196;196;1,923469388;2
farashi;DT;outgoing;normal;diff expression;depict;;79;79;75;66,90847128;0,758589512;65;79;79;79;1,17721519;1
farashi;DT;outgoing;normal;no expression;25;;29;30;22;68,68421053;0,868390805;27;30;30;30;1,1;1
farashi;DT;outgoing;normal;no expression;50;;42;43;34;57,80293758;0,686507937;35;43;43;43;1,186046512;1
farashi;DT;outgoing;normal;no expression;100;0,324705242;50;51;42;47,37967914;0,464174603;27;51;51;51;1,470588235;1
