SNP ID;nodeID;predicted;Class;For-SNP rank
rs11649653;10832;0.6;0;1
rs11649653;8935;0.4;0;2
rs11649653;8691;0.4;0;2
rs11649653;10537;0.2;0;3
rs11649653;12600;0.2;0;3
rs11649653;7536;0.2;0;3
rs11649653;5598;0.2;0;3
rs11649653;9288;0.0;1;4
rs11220462;4998;0.0;1;1
rs11136341;11123;0.6;0;1
rs11136341;13085;0.4;1;2
rs11136341;10360;0.2;0;3
rs11136341;3122;0.2;0;3
rs11065987;13695;1.0;0;1
rs11065987;4174;0.6;0;2
rs11065987;13020;0.6;0;2
rs11065987;4713;0.4;0;3
rs11065987;519;0.4;0;3
rs11065987;4507;0.4;1;3
rs11065987;10131;0.4;0;3
rs11065987;12969;0.2;0;4
rs11065987;6405;0.2;0;4
rs11065987;6844;0.0;0;5
rs10761731;6390;0.0;1;1
rs10761731;11465;0.0;0;1
rs1042034;4731;0.2;1;1
rs10401969;11249;0.6;1;1
rs10401969;3731;0.4;0;2
rs10401969;12715;0.4;0;2
rs10401969;10342;0.4;0;2
rs10401969;2461;0.4;0;2
rs10401969;1428;0.2;0;3
rs10401969;1491;0.2;0;3
rs10401969;6138;0.2;0;3
rs10401969;3760;0.2;0;3
rs10401969;2749;0.0;0;4
rs10195252;288;0.6;1;1
